city,category,goal_amount,raised_amount,fulfillment_ratio,donation_count,avg_donation_amount,avg_days_since_last_donation,donor_retention_rate,poverty_index,need_gap,is_hotspot
Nagpur,Disaster Relief,265905.16,24548.23,0.0923,222,110.58,14.6,0.4691,0.38,241356.93,1
Pune,Disaster Relief,1660776.15,507322.51,0.3055,491,1033.24,17.4,0.5382,0.28,1153453.64,0
Nashik,Disaster Relief,1751869.99,607107.35,0.3465,74,8204.15,20.5,0.5239,0.42,1144762.64,0
Pune,Food & Hunger,117762.45,39379.41,0.3344,13,3029.19,9.0,0.5253,0.28,78383.04,0
Mumbai,Food & Hunger,171930.14,31828.86,0.1851,81,392.95,21.5,0.4867,0.31,140101.27,1
Mumbai,Medical,674567.94,189790.53,0.2814,51,3721.38,0.8,0.4937,0.31,484777.41,0
Pune,Medical,489208.34,219876.06,0.4495,25,8795.04,21.2,0.5131,0.28,269332.29,0
Thane,Medical,563199.1,128615.63,0.2284,64,2009.62,14.0,0.4506,0.33,434583.47,1
Nagpur,Medical,569541.17,153544.48,0.2696,46,3337.92,8.7,0.4495,0.38,415996.7,0
Nashik,Education,89862.56,30138.96,0.3354,147,205.03,3.6,0.4008,0.42,59723.6,0
Mumbai,Medical,391182.35,79057.55,0.2021,12,6588.13,10.9,0.4414,0.31,312124.8,0
Pune,Medical,507452.76,69320.76,0.1366,88,787.74,1.8,0.5361,0.28,438132.0,0
Mumbai,Food & Hunger,16977.06,7556.45,0.4451,17,444.5,23.0,0.4471,0.31,9420.61,0
Nashik,Disaster Relief,136556.16,33913.17,0.2483,156,217.39,12.9,0.4386,0.42,102642.98,0
Thane,Disaster Relief,1012415.83,328477.67,0.3244,357,920.11,9.2,0.3923,0.33,683938.16,0
Nagpur,Food & Hunger,137479.17,40600.27,0.2953,39,1041.03,7.1,0.4824,0.38,96878.9,1
Solapur,Disaster Relief,166073.17,27165.13,0.1636,309,87.91,15.8,0.3971,0.55,138908.04,1
Nagpur,Education,41301.17,18939.18,0.4586,136,139.26,34.0,0.3643,0.38,22361.99,0
Nagpur,Medical,550969.22,124687.0,0.2263,68,1833.63,15.6,0.4489,0.38,426282.21,1
Akola,Medical,144599.21,37903.88,0.2621,134,282.86,13.2,0.4401,0.56,106695.33,1
Nanded,Medical,352076.55,73002.91,0.2073,56,1303.62,45.3,0.3237,0.63,279073.64,0
Mumbai,Medical,192439.81,83300.35,0.4329,16,5206.27,13.2,0.5284,0.31,109139.46,0
Mumbai,Medical,262392.96,78499.67,0.2992,143,548.95,25.4,0.4635,0.31,183893.29,1
Latur,Disaster Relief,1530734.5,115935.3,0.0757,272,426.23,22.3,0.2687,0.67,1414799.2,1
Mumbai,Medical,293055.03,96573.58,0.3295,32,3017.92,14.7,0.4679,0.31,196481.46,0
Pune,Disaster Relief,1593854.51,268977.21,0.1688,426,631.4,15.1,0.5491,0.28,1324877.3,1
Thane,Disaster Relief,1392134.76,315866.71,0.2269,87,3630.65,11.1,0.4673,0.33,1076268.05,0
Osmanabad,Food & Hunger,28867.42,288.67,0.01,41,7.04,14.1,0.322,0.69,28578.74,1
Nanded,Medical,765837.09,79422.63,0.1037,59,1346.15,25.8,0.3932,0.63,686414.46,1
Yavatmal,Medical,495329.94,79518.15,0.1605,98,811.41,29.8,0.2862,0.72,415811.79,1
Pune,Education,88910.45,31463.59,0.3539,37,850.37,12.1,0.4644,0.28,57446.85,0
Osmanabad,Disaster Relief,1112413.93,108416.94,0.0975,499,217.27,16.2,0.3402,0.69,1003996.99,1
Amravati,Disaster Relief,1766613.79,157877.17,0.0894,319,494.91,38.1,0.4244,0.58,1608736.61,1
Nagpur,Food & Hunger,171985.98,46419.16,0.2699,20,2320.96,18.6,0.5312,0.38,125566.82,1
Nagpur,Education,52235.92,25749.83,0.493,120,214.58,18.6,0.4308,0.38,26486.09,0
Latur,Food & Hunger,194225.47,22045.06,0.1135,15,1469.67,30.3,0.3294,0.67,172180.41,1
Nashik,Disaster Relief,446285.03,139830.99,0.3133,385,363.2,19.5,0.311,0.42,306454.04,0
Thane,Disaster Relief,1794182.49,75411.54,0.042,309,244.05,1.2,0.532,0.33,1718770.95,0
Wardha,Food & Hunger,172252.77,26621.17,0.1545,55,484.02,28.9,0.197,0.64,145631.6,1
Akola,Food & Hunger,154893.31,25142.28,0.1623,77,326.52,30.4,0.4302,0.56,129751.03,1
Solapur,Education,287872.69,97645.05,0.3392,11,8876.82,17.2,0.4228,0.55,190227.64,0
Kolhapur,Medical,515502.41,148694.95,0.2884,127,1170.83,19.4,0.4129,0.44,366807.46,1
Pune,Food & Hunger,87350.23,17312.71,0.1982,12,1442.73,7.1,0.4726,0.28,70037.52,0
Dhule,Education,16735.29,3660.45,0.2187,127,28.82,26.0,0.3492,0.61,13074.84,1
Solapur,Food & Hunger,66105.19,2021.05,0.0306,31,65.2,28.5,0.3485,0.55,64084.14,1
Nagpur,Disaster Relief,92952.5,26958.43,0.29,283,95.26,18.6,0.4277,0.38,65994.07,0
Mumbai,Disaster Relief,1031013.7,118948.71,0.1154,235,506.16,28.7,0.5379,0.31,912064.99,1
Aurangabad,Education,147004.22,37433.31,0.2546,50,748.67,12.0,0.3456,0.51,109570.91,1
Solapur,Food & Hunger,104372.13,18100.01,0.1734,37,489.19,24.2,0.3326,0.55,86272.12,1
Kolhapur,Disaster Relief,250359.09,54784.71,0.2188,363,150.92,13.3,0.4682,0.44,195574.39,0
Nagpur,Education,85344.8,32834.33,0.3847,113,290.57,11.1,0.4328,0.38,52510.48,0
Pune,Disaster Relief,1739768.56,533554.05,0.3067,472,1130.41,14.6,0.394,0.28,1206214.51,0
Aurangabad,Medical,557439.93,84103.29,0.1509,91,924.21,32.9,0.3296,0.51,473336.64,1
Mumbai,Disaster Relief,545751.2,115982.76,0.2125,153,758.06,15.9,0.4951,0.31,429768.44,1
Pune,Food & Hunger,158546.53,32293.05,0.2037,79,408.77,12.3,0.4655,0.28,126253.49,0
Nashik,Medical,393874.99,120151.61,0.3051,139,864.4,10.9,0.443,0.42,273723.39,0
Solapur,Medical,534448.95,66224.85,0.1239,87,761.21,19.3,0.3983,0.55,468224.1,1
Thane,Education,127499.29,50880.36,0.3991,75,678.4,12.2,0.4276,0.33,76618.93,1
Aurangabad,Medical,111421.96,28785.35,0.2583,95,303.0,26.2,0.3703,0.51,82636.62,0
Nagpur,Food & Hunger,169270.42,40983.58,0.2421,8,5122.95,17.1,0.405,0.38,128286.84,1
Pune,Medical,384673.75,166804.88,0.4336,173,964.19,29.5,0.4988,0.28,217868.87,0
Kolhapur,Disaster Relief,478620.43,54059.27,0.1129,203,266.3,19.3,0.3677,0.44,424561.16,1
Pune,Medical,624184.95,187595.9,0.3005,95,1974.69,3.5,0.4146,0.28,436589.05,1
Pune,Food & Hunger,114192.59,33853.93,0.2965,67,505.28,19.5,0.5066,0.28,80338.66,1
Mumbai,Disaster Relief,640685.67,203904.04,0.3183,51,3998.12,8.4,0.4361,0.31,436781.63,0
Kolhapur,Disaster Relief,1359702.45,253080.75,0.1861,134,1888.66,18.4,0.5303,0.44,1106621.7,1
Thane,Education,119219.01,50386.5,0.4226,41,1228.94,11.9,0.4521,0.33,68832.51,0
Amravati,Medical,239083.93,52529.27,0.2197,163,322.27,25.4,0.3899,0.58,186554.66,1
Dhule,Education,97793.78,18919.44,0.1935,75,252.26,25.9,0.387,0.61,78874.34,1
Mumbai,Medical,410417.15,78338.51,0.1909,138,567.67,8.5,0.4988,0.31,332078.64,0
Thane,Education,244985.16,92156.42,0.3762,74,1245.36,2.8,0.5447,0.33,152828.74,1
Mumbai,Medical,398033.37,139363.24,0.3501,28,4977.26,19.8,0.4765,0.31,258670.13,0
Aurangabad,Medical,177617.42,46321.8,0.2608,171,270.89,20.7,0.4126,0.51,131295.62,1
Nagpur,Disaster Relief,393386.17,52007.8,0.1322,355,146.5,26.9,0.4743,0.38,341378.36,1
Nagpur,Education,150916.53,54067.91,0.3583,110,491.53,22.2,0.3833,0.38,96848.62,0
Mumbai,Food & Hunger,155080.02,43497.02,0.2805,101,430.66,22.7,0.4485,0.31,111583.0,1
Amravati,Medical,197108.8,62990.91,0.3196,61,1032.64,26.2,0.4037,0.58,134117.89,1
Nagpur,Medical,337142.41,194757.13,0.5777,89,2188.28,4.7,0.4114,0.38,142385.28,1
Mumbai,Disaster Relief,1175389.04,288387.47,0.2454,191,1509.88,8.8,0.5155,0.31,887001.57,0
Pune,Food & Hunger,170981.62,52486.77,0.307,31,1693.12,18.7,0.4337,0.28,118494.85,0
Solapur,Food & Hunger,120216.88,26047.83,0.2167,64,407.0,15.1,0.4279,0.55,94169.04,1
Jalgaon,Disaster Relief,1699406.62,454796.14,0.2676,415,1095.89,15.4,0.4096,0.49,1244610.48,1
Pune,Food & Hunger,72997.29,25304.67,0.3467,103,245.68,7.4,0.4979,0.28,47692.62,0
Nanded,Medical,588230.65,85742.48,0.1458,149,575.45,33.6,0.2018,0.63,502488.17,0
Pune,Medical,54117.6,23694.03,0.4378,27,877.56,18.9,0.3601,0.28,30423.56,0
Osmanabad,Disaster Relief,446977.84,32071.9,0.0718,443,72.4,23.9,0.3793,0.69,414905.94,1
Nagpur,Medical,352537.63,79468.75,0.2254,58,1370.15,26.0,0.3989,0.38,273068.88,1
Mumbai,Education,111034.95,50235.45,0.4524,85,591.01,8.3,0.4583,0.31,60799.49,0
Kolhapur,Food & Hunger,41791.05,5054.48,0.1209,94,53.77,22.7,0.4293,0.44,36736.57,1
Pune,Food & Hunger,190349.64,36935.49,0.194,69,535.3,16.0,0.5237,0.28,153414.15,1
Osmanabad,Disaster Relief,1663637.32,250894.94,0.1508,354,708.74,23.1,0.4138,0.69,1412742.38,1
Solapur,Disaster Relief,1708419.65,194086.89,0.1136,44,4411.07,21.0,0.3616,0.55,1514332.76,1
Mumbai,Medical,568406.64,164395.45,0.2892,132,1245.42,19.4,0.4804,0.31,404011.2,1
Nagpur,Disaster Relief,1038011.67,271472.44,0.2615,27,10054.53,14.6,0.428,0.38,766539.22,1
Thane,Education,139733.48,57568.53,0.412,42,1370.68,22.0,0.4968,0.33,82164.95,0
Osmanabad,Disaster Relief,887712.09,52853.63,0.0595,76,695.44,10.1,0.3334,0.69,834858.46,1
Thane,Education,263353.0,107025.11,0.4064,104,1029.09,9.7,0.5066,0.33,156327.89,0
Thane,Food & Hunger,196562.08,27589.69,0.1404,23,1199.55,20.4,0.4067,0.33,168972.39,1
Akola,Medical,592841.76,113368.18,0.1912,75,1511.58,17.5,0.2906,0.56,479473.59,1
Pune,Education,73539.4,30973.29,0.4212,119,260.28,13.1,0.4601,0.28,42566.11,0
Amravati,Medical,103564.0,25394.38,0.2452,53,479.14,18.3,0.2846,0.58,78169.61,1
Mumbai,Medical,782255.78,262092.99,0.335,176,1489.16,6.8,0.4091,0.31,520162.79,0
Mumbai,Medical,333149.59,114985.4,0.3451,51,2254.62,13.6,0.4035,0.31,218164.19,0
Pune,Education,211586.97,91163.34,0.4309,34,2681.27,4.9,0.5763,0.28,120423.63,0
Mumbai,Education,91209.58,31537.48,0.3458,12,2628.12,23.8,0.5267,0.31,59672.1,0
Pune,Food & Hunger,57409.63,14770.86,0.2573,75,196.94,5.3,0.4158,0.28,42638.77,0
Aurangabad,Medical,476767.69,171840.3,0.3604,49,3506.94,24.9,0.3929,0.51,304927.4,1
Nanded,Education,225731.35,72167.17,0.3197,79,913.51,15.0,0.3063,0.63,153564.18,1
Mumbai,Medical,361366.25,151670.51,0.4197,50,3033.41,27.7,0.4514,0.31,209695.74,1
Thane,Medical,448828.87,186515.45,0.4156,40,4662.89,23.2,0.521,0.33,262313.42,0
Akola,Food & Hunger,57191.49,11266.57,0.197,29,388.5,14.5,0.3344,0.56,45924.92,1
Nagpur,Disaster Relief,469921.54,153029.38,0.3256,198,772.88,29.5,0.4864,0.38,316892.16,0
Nashik,Disaster Relief,1111295.23,172635.57,0.1553,116,1488.24,28.9,0.4661,0.42,938659.67,1
Nashik,Disaster Relief,1552947.94,111682.76,0.0719,403,277.13,14.9,0.4747,0.42,1441265.17,1
Latur,Education,239405.3,52883.12,0.2209,73,724.43,14.4,0.3666,0.67,186522.18,1
Nagpur,Food & Hunger,111654.85,28877.18,0.2586,53,544.85,12.6,0.523,0.38,82777.67,0
Mumbai,Education,158249.9,62672.3,0.396,17,3686.61,20.6,0.4752,0.31,95577.61,0
Kolhapur,Education,18275.35,7364.66,0.403,25,294.59,16.9,0.4984,0.44,10910.69,0
Kolhapur,Disaster Relief,1637545.09,296105.01,0.1808,348,850.88,15.5,0.3934,0.44,1341440.08,1
Pune,Food & Hunger,115142.24,38756.63,0.3366,13,2981.28,6.5,0.4935,0.28,76385.6,0
Amravati,Medical,278225.47,63450.98,0.2281,67,947.03,28.1,0.3685,0.58,214774.49,1
Mumbai,Medical,85171.6,24531.48,0.288,96,255.54,22.6,0.4902,0.31,60640.12,0
Nagpur,Education,140175.02,54027.17,0.3854,95,568.71,20.2,0.4017,0.38,86147.85,0
Solapur,Disaster Relief,1004284.08,258691.96,0.2576,434,596.06,17.8,0.4531,0.55,745592.12,1
Nashik,Education,20451.76,7462.52,0.3649,33,226.14,15.4,0.4532,0.42,12989.23,0
Mumbai,Food & Hunger,32498.86,6579.36,0.2024,24,274.14,6.1,0.4352,0.31,25919.49,0
Kolhapur,Food & Hunger,127097.09,16785.85,0.1321,69,243.27,5.5,0.33,0.44,110311.24,0
Solapur,Disaster Relief,1519509.53,122424.76,0.0806,282,434.13,13.0,0.3621,0.55,1397084.77,1
Solapur,Medical,115833.03,27166.35,0.2345,64,424.47,25.0,0.3397,0.55,88666.68,1
Nagpur,Medical,551145.74,187932.57,0.341,155,1212.47,27.1,0.4027,0.38,363213.17,0
Mumbai,Education,87182.63,46446.62,0.5328,11,4222.42,16.5,0.5639,0.31,40736.01,0
Nanded,Food & Hunger,48652.93,4718.64,0.097,66,71.49,18.5,0.4146,0.63,43934.29,1
Nashik,Disaster Relief,197614.47,36659.43,0.1855,206,177.96,15.4,0.479,0.42,160955.03,1
Osmanabad,Food & Hunger,113661.18,11488.0,0.1011,64,179.5,28.5,0.2865,0.69,102173.18,1
Thane,Disaster Relief,770669.69,162234.45,0.2105,242,670.39,22.1,0.5317,0.33,608435.24,1
Mumbai,Disaster Relief,1671167.03,325605.51,0.1948,323,1008.07,22.7,0.4812,0.31,1345561.52,1
Nashik,Food & Hunger,152831.93,25320.55,0.1657,97,261.04,8.4,0.4349,0.42,127511.38,0
Thane,Medical,324630.63,71250.74,0.2195,73,976.04,25.4,0.4436,0.33,253379.89,1
Nagpur,Education,268401.46,83967.19,0.3128,91,922.72,8.1,0.4679,0.38,184434.27,0
Solapur,Education,125070.42,24960.69,0.1996,93,268.39,24.3,0.4271,0.55,100109.73,1
Thane,Education,124097.65,56692.33,0.4568,125,453.54,23.8,0.4978,0.33,67405.31,0
Solapur,Disaster Relief,1291685.35,83906.63,0.065,273,307.35,27.4,0.3727,0.55,1207778.72,1
Aurangabad,Disaster Relief,566038.3,141073.81,0.2492,337,418.62,24.7,0.4273,0.51,424964.5,1
Mumbai,Food & Hunger,156995.89,32134.44,0.2047,29,1108.08,17.9,0.391,0.31,124861.45,1
Jalgaon,Disaster Relief,1136807.48,151478.07,0.1332,38,3986.27,9.8,0.4622,0.49,985329.41,1
Jalgaon,Food & Hunger,149883.49,50321.74,0.3357,15,3354.78,13.9,0.4412,0.49,99561.75,0
Osmanabad,Disaster Relief,1997840.59,242130.05,0.1212,176,1375.74,31.8,0.3546,0.69,1755710.55,1
Wardha,Disaster Relief,1163766.48,11637.66,0.01,481,24.19,14.9,0.3345,0.64,1152128.82,1
Pune,Education,19098.71,7735.93,0.405,117,66.12,24.1,0.5195,0.28,11362.79,1
Nanded,Disaster Relief,60425.01,5302.0,0.0877,213,24.89,29.2,0.3147,0.63,55123.01,1
Solapur,Education,216608.15,62051.28,0.2865,64,969.55,25.5,0.31,0.55,154556.86,1
Akola,Disaster Relief,1256127.76,106780.2,0.085,232,460.26,39.6,0.433,0.56,1149347.57,1
Dhule,Education,30204.18,8291.67,0.2745,73,113.58,32.8,0.4146,0.61,21912.51,1
Dhule,Medical,514523.72,112472.74,0.2186,175,642.7,19.4,0.3608,0.61,402050.98,1
Amravati,Medical,164000.91,25931.22,0.1581,128,202.59,38.3,0.3415,0.58,138069.69,1
Mumbai,Food & Hunger,140225.12,13537.68,0.0965,83,163.1,2.1,0.4882,0.31,126687.43,0
Jalgaon,Education,178193.06,67965.55,0.3814,48,1415.95,20.9,0.4423,0.49,110227.51,1
Pune,Education,215252.46,91381.5,0.4245,44,2076.85,19.3,0.5297,0.28,123870.96,0
Osmanabad,Food & Hunger,47364.18,11154.04,0.2355,89,125.33,32.9,0.2924,0.69,36210.14,1
Mumbai,Education,211995.37,111516.89,0.526,141,790.9,25.6,0.4538,0.31,100478.48,0
Nagpur,Food & Hunger,165225.04,42024.97,0.2543,103,408.01,11.1,0.4391,0.38,123200.08,0
Pune,Food & Hunger,20492.28,7511.62,0.3666,118,63.66,6.9,0.5152,0.28,12980.65,0
Mumbai,Education,88091.97,26301.28,0.2986,59,445.78,10.7,0.4851,0.31,61790.69,0
Amravati,Disaster Relief,1564766.5,123447.58,0.0789,418,295.33,20.2,0.4106,0.58,1441318.92,1
Nashik,Education,159070.0,75088.31,0.472,30,2502.94,6.2,0.4711,0.42,83981.69,0
Mumbai,Disaster Relief,1969257.27,688564.56,0.3497,155,4442.35,8.3,0.4187,0.31,1280692.71,0
Nashik,Food & Hunger,157639.36,27057.26,0.1716,104,260.17,20.8,0.3356,0.42,130582.1,1
Yavatmal,Medical,753824.89,123117.66,0.1633,87,1415.15,23.8,0.3493,0.72,630707.23,1
Aurangabad,Medical,691340.87,278274.01,0.4025,76,3661.5,16.1,0.2978,0.51,413066.87,1
Mumbai,Medical,714659.89,235433.68,0.3294,133,1770.18,25.1,0.5309,0.31,479226.21,0
Osmanabad,Food & Hunger,80712.92,8641.45,0.1071,81,106.68,27.4,0.2691,0.69,72071.47,1
Pune,Food & Hunger,103245.35,34666.64,0.3358,74,468.47,11.8,0.566,0.28,68578.71,0
Amravati,Food & Hunger,161569.13,50216.11,0.3108,47,1068.43,23.3,0.3258,0.58,111353.02,1
Amravati,Education,296728.67,144314.33,0.4864,92,1568.63,40.5,0.4015,0.58,152414.34,1
Mumbai,Food & Hunger,152550.5,55721.42,0.3653,22,2532.79,2.4,0.4468,0.31,96829.07,0
Nashik,Education,285323.34,103677.19,0.3634,139,745.88,22.2,0.4535,0.42,181646.14,1
Kolhapur,Medical,144731.46,55462.82,0.3832,90,616.25,33.7,0.3539,0.44,89268.64,0
Kolhapur,Medical,573794.42,250110.13,0.4359,138,1812.39,15.9,0.4306,0.44,323684.29,0
Aurangabad,Food & Hunger,106872.26,15325.68,0.1434,62,247.19,3.6,0.4822,0.51,91546.58,1
Mumbai,Disaster Relief,1519781.44,264729.86,0.1742,243,1089.42,5.3,0.4826,0.31,1255051.57,0
Akola,Food & Hunger,82152.79,13383.86,0.1629,97,137.98,33.2,0.3453,0.56,68768.93,1
Kolhapur,Food & Hunger,115726.68,25478.58,0.2202,111,229.54,19.9,0.3523,0.44,90248.1,1
Nagpur,Food & Hunger,157296.37,22558.4,0.1434,31,727.69,14.8,0.4448,0.38,134737.97,1
Aurangabad,Disaster Relief,1292334.67,364386.11,0.282,112,3253.45,28.9,0.4397,0.51,927948.56,1
Nashik,Education,94077.43,21884.15,0.2326,49,446.62,25.5,0.4839,0.42,72193.28,0
Wardha,Education,94266.81,21654.97,0.2297,128,169.18,17.6,0.3604,0.64,72611.84,1
Nagpur,Education,32615.41,12075.02,0.3702,22,548.86,19.0,0.3906,0.38,20540.4,0
Osmanabad,Medical,732755.33,50494.75,0.0689,36,1402.63,32.5,0.2915,0.69,682260.58,1
Amravati,Disaster Relief,464272.19,41908.8,0.0903,338,123.99,8.7,0.2903,0.58,422363.39,1
Jalgaon,Disaster Relief,625391.08,64871.36,0.1037,231,280.83,17.1,0.4114,0.49,560519.72,1
Latur,Food & Hunger,32779.31,3873.17,0.1182,89,43.52,10.5,0.3455,0.67,28906.14,1
Pune,Food & Hunger,149437.79,53821.89,0.3602,49,1098.41,28.0,0.4674,0.28,95615.9,0
Mumbai,Disaster Relief,1866532.08,402282.58,0.2155,414,971.7,29.6,0.5165,0.31,1464249.51,1
Nagpur,Medical,755560.86,214229.65,0.2835,141,1519.36,13.9,0.4114,0.38,541331.21,0
Pune,Disaster Relief,1209952.39,263928.56,0.2181,374,705.69,14.0,0.4774,0.28,946023.83,0
Mumbai,Education,240005.31,102580.14,0.4274,44,2331.37,27.0,0.5444,0.31,137425.16,1
Amravati,Food & Hunger,76028.57,9085.17,0.1195,10,908.52,23.4,0.3529,0.58,66943.4,1
Pune,Disaster Relief,1170151.67,317436.56,0.2713,450,705.41,7.0,0.4753,0.28,852715.12,0
Amravati,Education,244628.64,73322.86,0.2997,55,1333.14,10.2,0.2264,0.58,171305.78,1
Mumbai,Disaster Relief,322217.79,111339.17,0.3455,395,281.87,17.8,0.4325,0.31,210878.62,1
Aurangabad,Education,209901.94,55252.47,0.2632,84,657.77,20.1,0.3703,0.51,154649.47,1
Mumbai,Food & Hunger,127655.42,38181.52,0.2991,102,374.33,12.6,0.44,0.31,89473.9,0
Kolhapur,Disaster Relief,1340466.58,151496.05,0.113,56,2705.29,23.9,0.3215,0.44,1188970.53,1
Nanded,Food & Hunger,70733.89,14217.42,0.201,115,123.63,22.8,0.4278,0.63,56516.47,1
Nashik,Medical,79333.81,20108.02,0.2535,74,271.73,14.6,0.4145,0.42,59225.79,0
Mumbai,Medical,195568.72,92717.82,0.4741,21,4415.13,15.6,0.4322,0.31,102850.91,0
Mumbai,Food & Hunger,184119.9,30714.38,0.1668,78,393.77,4.1,0.5611,0.31,153405.52,0
Nashik,Medical,630246.99,118928.22,0.1887,161,738.68,0.7,0.4447,0.42,511318.78,0
Nagpur,Disaster Relief,993840.12,167196.65,0.1682,266,628.56,21.8,0.3598,0.38,826643.47,1
Mumbai,Disaster Relief,1665551.86,509980.85,0.3062,175,2914.18,23.0,0.4399,0.31,1155571.01,0
Nanded,Disaster Relief,1896174.68,84968.42,0.0448,212,400.79,18.2,0.3908,0.63,1811206.26,1
Mumbai,Food & Hunger,46315.1,3194.8,0.069,40,79.87,3.4,0.4662,0.31,43120.3,0
Akola,Medical,149174.84,45040.94,0.3019,34,1324.73,33.8,0.3522,0.56,104133.9,1
Mumbai,Education,112055.28,40250.1,0.3592,20,2012.51,6.7,0.5078,0.31,71805.18,0
Pune,Medical,204393.29,60734.32,0.2971,156,389.32,12.3,0.525,0.28,143658.97,0
Mumbai,Medical,32507.33,11725.75,0.3607,170,68.97,19.7,0.4414,0.31,20781.59,0
Solapur,Food & Hunger,85560.04,20843.35,0.2436,116,179.68,7.6,0.397,0.55,64716.69,1
Pune,Disaster Relief,307332.37,38701.28,0.1259,64,604.71,13.9,0.4299,0.28,268631.1,0
Pune,Food & Hunger,165288.01,40212.49,0.2433,111,362.27,12.5,0.4432,0.28,125075.52,0
Latur,Education,94727.6,33063.52,0.349,131,252.39,15.1,0.3722,0.67,61664.09,0
Solapur,Food & Hunger,40659.8,9485.39,0.2333,70,135.51,26.4,0.4157,0.55,31174.41,1
Mumbai,Education,113769.25,36045.61,0.3168,33,1092.29,12.3,0.4917,0.31,77723.64,0
Amravati,Disaster Relief,1300933.74,279512.44,0.2149,144,1941.06,14.4,0.3304,0.58,1021421.3,1
Pune,Disaster Relief,1591515.0,397031.28,0.2495,70,5671.88,4.4,0.4944,0.28,1194483.71,0
Mumbai,Food & Hunger,61422.35,13887.44,0.2261,14,991.96,19.1,0.5318,0.31,47534.91,0
Latur,Disaster Relief,1971090.38,103785.37,0.0527,234,443.53,37.1,0.409,0.67,1867305.01,1
Aurangabad,Disaster Relief,1872144.43,438966.19,0.2345,350,1254.19,22.1,0.4599,0.51,1433178.23,1
Mumbai,Education,87271.47,28511.97,0.3267,37,770.59,11.6,0.5349,0.31,58759.5,0
Thane,Food & Hunger,29540.09,8832.14,0.299,19,464.85,11.3,0.5127,0.33,20707.95,0
Thane,Education,233261.28,71727.48,0.3075,12,5977.29,12.1,0.5022,0.33,161533.79,0
Aurangabad,Education,77333.46,24094.34,0.3116,18,1338.57,22.6,0.3466,0.51,53239.12,0
Mumbai,Medical,797604.64,283447.64,0.3554,76,3729.57,4.4,0.5358,0.31,514157.0,0
Nashik,Education,136523.53,53279.15,0.3903,86,619.53,13.2,0.3885,0.42,83244.38,0
Osmanabad,Medical,649633.65,52360.45,0.0806,9,5817.83,28.3,0.3598,0.69,597273.19,1
Mumbai,Education,276421.4,62874.54,0.2275,66,952.64,17.8,0.4393,0.31,213546.85,1
Nashik,Food & Hunger,198938.9,16835.9,0.0846,101,166.69,24.6,0.4972,0.42,182103.0,1
Kolhapur,Food & Hunger,51399.36,18046.39,0.3511,81,222.79,27.9,0.5107,0.44,33352.97,1
Solapur,Food & Hunger,181514.05,31979.71,0.1762,111,288.11,19.6,0.3758,0.55,149534.34,1
Jalgaon,Disaster Relief,1471431.44,14714.31,0.01,394,37.35,12.4,0.4718,0.49,1456717.13,1
Mumbai,Disaster Relief,1639788.85,386741.72,0.2358,409,945.58,21.7,0.5539,0.31,1253047.13,1
Pune,Food & Hunger,28043.4,5076.82,0.181,41,123.82,13.1,0.5017,0.28,22966.59,0
Latur,Disaster Relief,1788070.5,17880.71,0.01,248,72.1,21.9,0.3259,0.67,1770189.8,1
Thane,Food & Hunger,35309.89,3088.12,0.0875,77,40.11,16.6,0.4167,0.33,32221.76,0
Solapur,Medical,648174.14,155192.83,0.2394,122,1272.07,20.1,0.3423,0.55,492981.32,1
Amravati,Disaster Relief,432679.15,87339.24,0.2019,80,1091.74,42.8,0.3359,0.58,345339.91,1
Mumbai,Disaster Relief,1673213.51,374936.72,0.2241,52,7210.32,17.8,0.4723,0.31,1298276.79,1
Nashik,Disaster Relief,1394155.3,235422.18,0.1689,141,1669.66,24.9,0.3547,0.42,1158733.12,1
Amravati,Disaster Relief,314592.22,62558.6,0.1989,181,345.63,28.4,0.3703,0.58,252033.61,1
Akola,Medical,619058.67,174425.25,0.2818,127,1373.43,31.6,0.3173,0.56,444633.42,1
Kolhapur,Education,102563.1,41994.48,0.4095,120,349.95,1.3,0.4625,0.44,60568.62,0
Amravati,Medical,287961.58,22236.18,0.0772,93,239.1,26.1,0.319,0.58,265725.4,1
Nagpur,Education,283198.75,101128.27,0.3571,148,683.3,24.9,0.4075,0.38,182070.48,0
Nagpur,Medical,753890.56,358450.45,0.4755,118,3037.72,36.0,0.4209,0.38,395440.12,0
Nagpur,Food & Hunger,66498.69,17729.58,0.2666,9,1969.95,9.0,0.523,0.38,48769.11,0
Mumbai,Education,263495.22,123491.49,0.4687,90,1372.13,23.1,0.4478,0.31,140003.74,0
Mumbai,Disaster Relief,1205903.33,246502.03,0.2044,441,558.96,12.0,0.5291,0.31,959401.31,0
Thane,Disaster Relief,1882158.75,435534.19,0.2314,382,1140.14,24.5,0.4839,0.33,1446624.56,1
Nashik,Food & Hunger,183999.77,18518.53,0.1006,27,685.87,9.5,0.3736,0.42,165481.24,0
Pune,Education,220788.83,110893.01,0.5023,15,7392.87,16.9,0.3614,0.28,109895.82,0
Akola,Medical,718675.6,185343.29,0.2579,113,1640.21,17.9,0.418,0.56,533332.31,0
Pune,Disaster Relief,307750.33,64487.66,0.2095,231,279.17,3.3,0.5645,0.28,243262.68,0
Thane,Disaster Relief,945696.31,233719.4,0.2471,420,556.47,16.7,0.4548,0.33,711976.91,1
Pune,Education,242938.26,72627.3,0.299,87,834.8,17.0,0.5431,0.28,170310.96,1
